response,n_selfish,sustainability,gini
retaliate,0,0.5,0.0
retaliate,1,0.0,0.07829977628635347
retaliate,2,0.0,0.13513513513513514
retaliate,3,0.0,0.17084282460136674
retaliate,4,0.0,0.18518518518518517
retaliate,5,0.0,0.1773049645390071
retaliate,6,0.0,0.14563106796116504
retaliate,7,0.0,0.08771929824561403
restrain,0,0.5,0.0
restrain,1,0.4689453125,0.5702906662684135
restrain,2,0.1672211755946333,0.7385324798186084
restrain,3,3.2505354262725236e-07,0.5746770483842323
restrain,4,9.255026566264295e-17,0.44181693094360525
restrain,5,3.317206615198089e-29,0.32385368378378426
restrain,6,8.625833860432777e-47,0.21261840389916054
restrain,7,7.034036247588407e-77,0.10511439286060793
enforce,0,0.5,0.0
enforce,1,0.5,0.020348837209302546
enforce,2,0.5,0.03409090909090945
enforce,3,0.5,0.041666666666667095
enforce,4,0.5,0.04347826086956565
enforce,5,0.5,0.03989361702127699
enforce,6,0.5,0.0312500000000003
enforce,7,0.5,0.01785714285714303
vote (E13),0,0.5,0.0
vote (E13),1,0.4375,0.5519634127109289
vote (E13),2,0.5,0.026346216658313507
vote (E13),3,0.5,0.039262180449653725
vote (E13),4,0.5,0.0709330664594535
vote (E13),5,4.446421707041932e-29,-0.29473087678478666
vote (E13),6,8.625833860432777e-47,-0.15813071661444222
vote (E13),7,7.034036247588407e-77,0.10511439286060793
