n_cooperative,n_conditional_cooperator,n_compensating_cooperator,n_selfish,n_sanctioning,diversity,welfare_efficiency,sustainability_ratio,payoff_gini,collapsed
0,0,0,0,8,1,0.8399999999999985,0.5,0.0,False
0,0,0,1,7,2,0.8599999999999988,0.5,0.020348837209302546,False
0,0,0,2,6,2,0.8799999999999989,0.5,0.03409090909090945,False
0,0,0,3,5,2,0.8999999999999991,0.5,0.041666666666667095,False
0,0,0,4,4,2,0.9199999999999993,0.5,0.04347826086956565,False
0,0,0,5,3,2,0.9399999999999994,0.5,0.03989361702127699,False
0,0,0,6,2,2,0.9599999999999996,0.5,0.0312500000000003,False
0,0,0,7,1,2,0.9799999999999998,0.5,0.01785714285714303,False
0,0,0,8,0,1,0.06,0.0,0.0,True
0,0,1,0,7,2,0.8599999999999988,0.5,0.020348837209302546,False
0,0,1,1,6,3,0.8799999999999989,0.5,0.03409090909090945,False
0,0,1,2,5,3,0.8999999999999991,0.5,0.041666666666667095,False
0,0,1,3,4,3,0.9199999999999993,0.5,0.04347826086956565,False
0,0,1,4,3,3,0.9399999999999994,0.5,0.03989361702127699,False
0,0,1,5,2,3,0.9599999999999996,0.5,0.0312500000000003,False
0,0,1,6,1,3,0.9799999999999998,0.5,0.01785714285714303,False
0,0,1,7,0,2,0.06285953409608667,7.034036247588407e-77,0.10511439286060793,True
0,0,2,0,6,2,0.8799999999999989,0.5,0.03409090909090945,False
0,0,2,1,5,3,0.8999999999999991,0.5,0.041666666666667095,False
0,0,2,2,4,3,0.9199999999999993,0.5,0.04347826086956565,False
0,0,2,3,3,3,0.9399999999999994,0.5,0.03989361702127699,False
0,0,2,4,2,3,0.9599999999999996,0.5,0.0312500000000003,False
0,0,2,5,1,3,0.9799999999999998,0.5,0.01785714285714303,False
0,0,2,6,0,2,0.06687782921992085,8.625833860432777e-47,0.21261840389916054,True
0,0,3,0,5,2,0.8999999999999991,0.5,0.041666666666667095,False
0,0,3,1,4,3,0.9199999999999993,0.5,0.04347826086956565,False
0,0,3,2,3,3,0.9399999999999994,0.5,0.03989361702127699,False
0,0,3,3,2,3,0.9599999999999996,0.5,0.0312500000000003,False
0,0,3,4,1,3,0.9799999999999998,0.5,0.01785714285714303,False
0,0,3,5,0,2,0.07331906337393412,3.317206615198089e-29,0.32385368378378426,True
0,0,4,0,4,2,0.9199999999999993,0.5,0.04347826086956565,False
0,0,4,1,3,3,0.9399999999999994,0.5,0.03989361702127699,False
0,0,4,2,2,3,0.9599999999999996,0.5,0.0312500000000003,False
0,0,4,3,1,3,0.9799999999999998,0.5,0.01785714285714303,False
0,0,4,4,0,2,0.08593565243445098,9.255026566264295e-17,0.44181693094360525,True
0,0,5,0,3,2,0.9399999999999994,0.5,0.03989361702127699,False
0,0,5,1,2,3,0.9599999999999996,0.5,0.0312500000000003,False
0,0,5,2,1,3,0.9799999999999998,0.5,0.01785714285714303,False
0,0,5,3,0,2,0.12419780238092583,3.2505354262725236e-07,0.5746770483842323,True
0,0,6,0,2,2,0.9599999999999996,0.5,0.0312500000000003,False
0,0,6,1,1,3,0.9799999999999998,0.5,0.01785714285714303,False
0,0,6,2,0,2,0.654021085759264,0.1672211755946333,0.7385324798186084,False
0,0,7,0,1,2,0.9799999999999998,0.5,0.01785714285714303,False
0,0,7,1,0,2,0.9934027572631832,0.4689453125,0.5702906662684135,False
0,0,8,0,0,1,1.0,0.5,0.0,False
0,1,0,0,7,2,0.8599999999999988,0.5,0.020348837209302546,False
0,1,0,1,6,3,0.8799999999999989,0.5,0.03409090909090945,False
0,1,0,2,5,3,0.8999999999999991,0.5,0.041666666666667095,False
0,1,0,3,4,3,0.9199999999999993,0.5,0.04347826086956565,False
0,1,0,4,3,3,0.9399999999999994,0.5,0.03989361702127699,False
0,1,0,5,2,3,0.9599999999999996,0.5,0.0312500000000003,False
0,1,0,6,1,3,0.9799999999999998,0.5,0.01785714285714303,False
0,1,0,7,0,2,0.06234375,0.0,0.08771929824561403,True
0,1,1,0,6,3,0.8799999999999989,0.5,0.03409090909090945,False
0,1,1,1,5,4,0.8999999999999991,0.5,0.041666666666667095,False
0,1,1,2,4,4,0.9199999999999993,0.5,0.04347826086956565,False
0,1,1,3,3,4,0.9399999999999994,0.5,0.03989361702127699,False
0,1,1,4,2,4,0.9599999999999996,0.5,0.0312500000000003,False
0,1,1,5,1,4,0.9799999999999998,0.5,0.01785714285714303,False
0,1,1,6,0,3,0.06537826161156801,2.662103159516678e-51,0.1775786387596829,True
0,1,2,0,5,3,0.8999999999999991,0.5,0.041666666666667095,False
0,1,2,1,4,4,0.9199999999999993,0.5,0.04347826086956565,False
0,1,2,2,3,4,0.9399999999999994,0.5,0.03989361702127699,False
0,1,2,3,2,4,0.9599999999999996,0.5,0.0312500000000003,False
0,1,2,4,1,4,0.9799999999999998,0.5,0.01785714285714303,False
0,1,2,5,0,3,0.06971388024109355,2.0268352570035427e-33,0.2701717361762411,True
0,1,3,0,4,3,0.9199999999999993,0.5,0.04347826086956565,False
0,1,3,1,3,4,0.9399999999999994,0.5,0.03989361702127699,False
0,1,3,2,2,4,0.9599999999999996,0.5,0.0312500000000003,False
0,1,3,3,1,4,0.9799999999999998,0.5,0.01785714285714303,False
0,1,3,4,0,3,0.07670738794865314,1.7839190804474902e-21,0.3668521537942075,True
0,1,4,0,3,3,0.9399999999999994,0.5,0.03989361702127699,False
0,1,4,1,2,4,0.9599999999999996,0.5,0.0312500000000003,False
0,1,4,2,1,4,0.9799999999999998,0.5,0.01785714285714303,False
0,1,4,3,0,3,0.09036818648847345,1.7345935840037624e-13,0.4706063593563283,True
0,1,5,0,2,3,0.9599999999999996,0.5,0.0312500000000003,False
0,1,5,1,1,4,0.9799999999999998,0.5,0.01785714285714303,False
0,1,5,2,0,3,0.1311089108526063,3.5815774079851874e-07,0.5892472813669414,True
0,1,6,0,1,3,0.9799999999999998,0.5,0.01785714285714303,False
0,1,6,1,0,3,0.6621143924268501,0.1672795657832314,0.7398525842711655,False
0,1,7,0,0,2,1.0,0.5,0.0,False
0,2,0,0,6,2,0.8799999999999989,0.5,0.03409090909090945,False
0,2,0,1,5,3,0.8999999999999991,0.5,0.041666666666667095,False
0,2,0,2,4,3,0.9199999999999993,0.5,0.04347826086956565,False
0,2,0,3,3,3,0.9399999999999994,0.5,0.03989361702127699,False
0,2,0,4,2,3,0.9599999999999996,0.5,0.0312500000000003,False
0,2,0,5,1,3,0.9799999999999998,0.5,0.01785714285714303,False
0,2,0,6,0,2,0.064375,0.0,0.14563106796116504,True
0,2,1,0,5,3,0.8999999999999991,0.5,0.041666666666667095,False
0,2,1,1,4,4,0.9199999999999993,0.5,0.04347826086956565,False
0,2,1,2,3,4,0.9399999999999994,0.5,0.03989361702127699,False
0,2,1,3,2,4,0.9599999999999996,0.5,0.0312500000000003,False
0,2,1,4,1,4,0.9799999999999998,0.5,0.01785714285714303,False
0,2,1,5,0,3,0.0675572485394852,2.417465583312164e-36,0.22213983535312515,True
0,2,2,0,4,3,0.9199999999999993,0.5,0.04347826086956565,False
0,2,2,1,3,4,0.9399999999999994,0.5,0.03989361702127699,False
0,2,2,2,2,4,0.9599999999999996,0.5,0.0312500000000003,False
0,2,2,3,1,4,0.9799999999999998,0.5,0.01785714285714303,False
0,2,2,4,0,3,0.07215481172439062,6.1693463526501316e-24,0.30197158596259766,True
0,2,3,0,3,3,0.9399999999999994,0.5,0.03989361702127699,False
0,2,3,1,2,4,0.9599999999999996,0.5,0.0312500000000003,False
0,2,3,2,1,4,0.9799999999999998,0.5,0.01785714285714303,False
0,2,3,3,0,3,0.07959684156473495,1.755399795960463e-15,0.3867781055404417,True
0,2,4,0,2,3,0.9599999999999996,0.5,0.0312500000000003,False
0,2,4,1,1,4,0.9799999999999998,0.5,0.01785714285714303,False
0,2,4,2,0,3,0.09408521921583042,8.126475578241477e-11,0.4800712587561719,True
0,2,5,0,1,3,0.9799999999999998,0.5,0.01785714285714303,False
0,2,5,1,0,3,0.13669032891974645,3.8588730661261535e-07,0.5907071569214518,True
0,2,6,0,0,2,1.0,0.5,0.0,False
0,3,0,0,5,2,0.8999999999999991,0.5,0.041666666666667095,False
0,3,0,1,4,3,0.9199999999999993,0.5,0.04347826086956565,False
0,3,0,2,3,3,0.9399999999999994,0.5,0.03989361702127699,False
0,3,0,3,2,3,0.9599999999999996,0.5,0.0312500000000003,False
0,3,0,4,1,3,0.9799999999999998,0.5,0.01785714285714303,False
0,3,0,5,0,2,0.06609375,0.0,0.1773049645390071,True
0,3,1,0,4,3,0.9199999999999993,0.5,0.04347826086956565,False
0,3,1,1,3,4,0.9399999999999994,0.5,0.03989361702127699,False
0,3,1,2,2,4,0.9599999999999996,0.5,0.0312500000000003,False
0,3,1,3,1,4,0.9799999999999998,0.5,0.01785714285714303,False
0,3,1,4,0,3,0.06939751971667098,9.849940786502618e-26,0.24207911224004053,True
0,3,2,0,3,3,0.9399999999999994,0.5,0.03989361702127699,False
0,3,2,1,2,4,0.9599999999999996,0.5,0.0312500000000003,False
0,3,2,2,1,4,0.9799999999999998,0.5,0.01785714285714303,False
0,3,2,3,0,3,0.07420542466872661,1.3914438132942304e-16,0.31106359502312214,True
0,3,3,0,2,3,0.9599999999999996,0.5,0.0312500000000003,False
0,3,3,1,1,4,0.9799999999999998,0.5,0.01785714285714303,False
0,3,3,2,0,3,0.082001969424243,1.3751814894575465e-10,0.386432652664813,True
0,3,4,0,1,3,0.9799999999999998,0.5,0.01785714285714303,False
0,3,4,1,0,3,0.0971297437922845,8.360087506297723e-09,0.472652560865255,True
0,3,5,0,0,2,1.0,0.5,0.0,False
0,4,0,0,4,2,0.9199999999999993,0.5,0.04347826086956565,False
0,4,0,1,3,3,0.9399999999999994,0.5,0.03989361702127699,False
0,4,0,2,2,3,0.9599999999999996,0.5,0.0312500000000003,False
0,4,0,3,1,3,0.9799999999999998,0.5,0.01785714285714303,False
0,4,0,4,0,2,0.0675,0.0,0.18518518518518517,True
0,4,1,0,3,3,0.9399999999999994,0.5,0.03989361702127699,False
0,4,1,1,2,4,0.9599999999999996,0.5,0.0312500000000003,False
0,4,1,2,1,4,0.9799999999999998,0.5,0.01785714285714303,False
