m,g0_cooperative,g0_conditional_cooperator,g0_compensating_cooperator,g0_selfish,g0_sanctioning,welfare_efficiency,collapsed
1,0,0,0,0,8,0.8399999999999985,False
1,0,0,0,1,7,0.8599999999999988,False
1,0,0,0,2,6,0.8799999999999989,False
1,0,0,0,3,5,0.8999999999999991,False
1,0,0,0,4,4,0.9199999999999993,False
1,0,0,0,5,3,0.9399999999999994,False
1,0,0,0,6,2,0.9599999999999996,False
1,0,0,0,7,1,0.9799999999999998,False
1,0,0,0,8,0,0.06,True
1,0,0,1,0,7,0.8599999999999988,False
1,0,0,1,1,6,0.8799999999999989,False
1,0,0,1,2,5,0.8999999999999991,False
1,0,0,1,3,4,0.9199999999999993,False
1,0,0,1,4,3,0.9399999999999994,False
1,0,0,1,5,2,0.9599999999999996,False
1,0,0,1,6,1,0.9799999999999998,False
1,0,0,1,7,0,0.06285953409608667,True
1,0,0,2,0,6,0.8799999999999989,False
1,0,0,2,1,5,0.8999999999999991,False
1,0,0,2,2,4,0.9199999999999993,False
1,0,0,2,3,3,0.9399999999999994,False
1,0,0,2,4,2,0.9599999999999996,False
1,0,0,2,5,1,0.9799999999999998,False
1,0,0,2,6,0,0.06687782921992085,True
1,0,0,3,0,5,0.8999999999999991,False
1,0,0,3,1,4,0.9199999999999993,False
1,0,0,3,2,3,0.9399999999999994,False
1,0,0,3,3,2,0.9599999999999996,False
1,0,0,3,4,1,0.9799999999999998,False
1,0,0,3,5,0,0.07331906337393412,True
1,0,0,4,0,4,0.9199999999999993,False
1,0,0,4,1,3,0.9399999999999994,False
1,0,0,4,2,2,0.9599999999999996,False
1,0,0,4,3,1,0.9799999999999998,False
1,0,0,4,4,0,0.08593565243445098,True
1,0,0,5,0,3,0.9399999999999994,False
1,0,0,5,1,2,0.9599999999999996,False
1,0,0,5,2,1,0.9799999999999998,False
1,0,0,5,3,0,0.12419780238092583,True
1,0,0,6,0,2,0.9599999999999996,False
1,0,0,6,1,1,0.9799999999999998,False
