m,g0_cooperative,g0_conditional_cooperator,g0_compensating_cooperator,g0_selfish,g0_sanctioning,g1_cooperative,g1_conditional_cooperator,g1_compensating_cooperator,g1_selfish,g1_sanctioning,welfare_efficiency,collapsed
2,0,0,0,0,4,0,0,0,0,4,0.8399999999999985,False
2,0,0,0,0,4,0,0,0,1,3,0.8599999999999988,False
2,0,0,0,0,4,0,0,0,2,2,0.8799999999999989,False
2,0,0,0,0,4,0,0,0,3,1,0.8999999999999991,False
2,0,0,0,0,4,0,0,0,4,0,0.0059356524344511006,True
2,0,0,0,0,4,0,0,1,0,3,0.8599999999999988,False
2,0,0,0,0,4,0,0,1,1,2,0.8799999999999989,False
2,0,0,0,0,4,0,0,1,2,1,0.8999999999999991,False
2,0,0,0,0,4,0,0,1,3,0,0.044197802380925945,True
2,0,0,0,0,4,0,0,2,0,2,0.8799999999999989,False
2,0,0,0,0,4,0,0,2,1,1,0.8999999999999991,False
2,0,0,0,0,4,0,0,2,2,0,0.5740210857592641,False
2,0,0,0,0,4,0,0,3,0,1,0.8999999999999991,False
2,0,0,0,0,4,0,0,3,1,0,0.9123793807983399,False
2,0,0,0,0,4,0,0,4,0,0,0.9199999999999993,False
2,0,0,0,0,4,0,1,0,0,3,0.8599999999999988,False
2,0,0,0,0,4,0,1,0,1,2,0.8799999999999989,False
2,0,0,0,0,4,0,1,0,2,1,0.8999999999999991,False
2,0,0,0,0,4,0,1,0,3,0,0.010368186488473572,True
2,0,0,0,0,4,0,1,1,0,2,0.8799999999999989,False
2,0,0,0,0,4,0,1,1,1,1,0.8999999999999991,False
2,0,0,0,0,4,0,1,1,2,0,0.05110891085260643,True
2,0,0,0,0,4,0,1,2,0,1,0.8999999999999991,False
2,0,0,0,0,4,0,1,2,1,0,0.5796267554668832,False
2,0,0,0,0,4,0,1,3,0,0,0.9199999999999993,False
2,0,0,0,0,4,0,2,0,0,2,0.8799999999999989,False
2,0,0,0,0,4,0,2,0,1,1,0.8999999999999991,False
2,0,0,0,0,4,0,2,0,2,0,0.014085219215830542,True
2,0,0,0,0,4,0,2,1,0,1,0.8999999999999991,False
2,0,0,0,0,4,0,2,1,1,0,0.054586792004403153,True
2,0,0,0,0,4,0,2,2,0,0,0.9199999999999993,False
2,0,0,0,0,4,0,3,0,0,1,0.8999999999999991,False
2,0,0,0,0,4,0,3,0,1,0,0.015779403046403396,True
2,0,0,0,0,4,0,3,1,0,0,0.9199999999999993,False
2,0,0,0,0,4,0,4,0,0,0,0.9199999999999993,False
2,0,0,0,0,4,1,0,0,0,3,0.8599999999999988,False
2,0,0,0,0,4,1,0,0,1,2,0.8799999999999989,False
2,0,0,0,0,4,1,0,0,2,1,0.8999999999999991,False
2,0,0,0,0,4,1,0,0,3,0,0.044197802380925945,True
2,0,0,0,0,4,1,0,1,0,2,0.8799999999999989,False
2,0,0,0,0,4,1,0,1,1,1,0.8999999999999991,False
2,0,0,0,0,4,1,0,1,2,0,0.5740210857592641,False
2,0,0,0,0,4,1,0,2,0,1,0.8999999999999991,False
2,0,0,0,0,4,1,0,2,1,0,0.9119257751464845,False
2,0,0,0,0,4,1,0,3,0,0,0.9199999999999993,False
2,0,0,0,0,4,1,1,0,0,2,0.8799999999999989,False
2,0,0,0,0,4,1,1,0,1,1,0.8999999999999991,False
2,0,0,0,0,4,1,1,0,2,0,0.05110891085260643,True
2,0,0,0,0,4,1,1,1,0,1,0.8999999999999991,False
2,0,0,0,0,4,1,1,1,1,0,0.5789667531692706,False
2,0,0,0,0,4,1,1,2,0,0,0.9199999999999993,False
2,0,0,0,0,4,1,2,0,0,1,0.8999999999999991,False
2,0,0,0,0,4,1,2,0,1,0,0.05404153287771339,True
2,0,0,0,0,4,1,2,1,0,0,0.9199999999999993,False
2,0,0,0,0,4,1,3,0,0,0,0.9199999999999993,False
2,0,0,0,0,4,2,0,0,0,2,0.8799999999999989,False
2,0,0,0,0,4,2,0,0,1,1,0.8999999999999991,False
2,0,0,0,0,4,2,0,0,2,0,0.5740210857592641,False
2,0,0,0,0,4,2,0,1,0,1,0.8999999999999991,False
2,0,0,0,0,4,2,0,1,1,0,0.9113930648803714,False
2,0,0,0,0,4,2,0,2,0,0,0.9199999999999993,False
2,0,0,0,0,4,2,1,0,0,1,0.8999999999999991,False
2,0,0,0,0,4,2,1,0,1,0,0.5782907965727764,False
2,0,0,0,0,4,2,1,1,0,0,0.9199999999999993,False
2,0,0,0,0,4,2,2,0,0,0,0.9199999999999993,False
2,0,0,0,0,4,3,0,0,0,1,0.8999999999999991,False
2,0,0,0,0,4,3,0,0,1,0,0.9107812500000002,False
2,0,0,0,0,4,3,0,1,0,0,0.9199999999999993,False
2,0,0,0,0,4,3,1,0,0,0,0.9199999999999993,False
2,0,0,0,0,4,4,0,0,0,0,0.9199999999999993,False
2,0,0,0,1,3,0,0,0,0,4,0.8599999999999988,False
2,0,0,0,1,3,0,0,0,1,3,0.8799999999999989,False
2,0,0,0,1,3,0,0,0,2,2,0.8999999999999991,False
2,0,0,0,1,3,0,0,0,3,1,0.9199999999999993,False
2,0,0,0,1,3,0,0,0,4,0,0.01965168409283004,True
2,0,0,0,1,3,0,0,1,0,3,0.8799999999999989,False
2,0,0,0,1,3,0,0,1,1,2,0.8999999999999991,False
2,0,0,0,1,3,0,0,1,2,1,0.9199999999999993,False
2,0,0,0,1,3,0,0,1,3,0,0.039476655733289054,True
2,0,0,0,1,3,0,0,2,0,2,0.8999999999999991,False
2,0,0,0,1,3,0,0,2,1,1,0.9199999999999993,False
2,0,0,0,1,3,0,0,2,2,0,0.13196166614481142,True
2,0,0,0,1,3,0,0,3,0,1,0.9199999999999993,False
2,0,0,0,1,3,0,0,3,1,0,0.9289580796627396,False
2,0,0,0,1,3,0,0,4,0,0,0.9399999999999994,False
2,0,0,0,1,3,0,1,0,0,3,0.8799999999999989,False
2,0,0,0,1,3,0,1,0,1,2,0.8999999999999991,False
2,0,0,0,1,3,0,1,0,2,1,0.9199999999999993,False
2,0,0,0,1,3,0,1,0,3,0,0.023633930193009432,True
2,0,0,0,1,3,0,1,1,0,2,0.8999999999999991,False
2,0,0,0,1,3,0,1,1,1,1,0.9199999999999993,False
2,0,0,0,1,3,0,1,1,2,0,0.045446849737332366,True
2,0,0,0,1,3,0,1,2,0,1,0.9199999999999993,False
2,0,0,0,1,3,0,1,2,1,0,0.14204317063034963,True
2,0,0,0,1,3,0,1,3,0,0,0.9399999999999994,False
2,0,0,0,1,3,0,2,0,0,2,0.8999999999999991,False
2,0,0,0,1,3,0,2,0,1,1,0.9199999999999993,False
2,0,0,0,1,3,0,2,0,2,0,0.027008498650221247,True
2,0,0,0,1,3,0,2,1,0,1,0.9199999999999993,False
2,0,0,0,1,3,0,2,1,1,0,0.04894719938504072,True
2,0,0,0,1,3,0,2,2,0,0,0.9399999999999994,False
2,0,0,0,1,3,0,3,0,0,1,0.9199999999999993,False
2,0,0,0,1,3,0,3,0,1,0,0.0289354247035778,True
2,0,0,0,1,3,0,3,1,0,0,0.9399999999999994,False
2,0,0,0,1,3,0,4,0,0,0,0.9399999999999994,False
2,0,0,0,1,3,1,0,0,0,3,0.8799999999999989,False
2,0,0,0,1,3,1,0,0,1,2,0.8999999999999991,False
2,0,0,0,1,3,1,0,0,2,1,0.9199999999999993,False
2,0,0,0,1,3,1,0,0,3,0,0.039476655733289054,True
2,0,0,0,1,3,1,0,1,0,2,0.8999999999999991,False
2,0,0,0,1,3,1,0,1,1,1,0.9199999999999993,False
2,0,0,0,1,3,1,0,1,2,0,0.13196166614481142,True
2,0,0,0,1,3,1,0,2,0,1,0.9199999999999993,False
2,0,0,0,1,3,1,0,2,1,0,0.9282850111068383,False
2,0,0,0,1,3,1,0,3,0,0,0.9399999999999994,False
2,0,0,0,1,3,1,1,0,0,2,0.8999999999999991,False
2,0,0,0,1,3,1,1,0,1,1,0.9199999999999993,False
2,0,0,0,1,3,1,1,0,2,0,0.045446849737332366,True
2,0,0,0,1,3,1,1,1,0,1,0.9199999999999993,False
2,0,0,0,1,3,1,1,1,1,0,0.14093850060599708,True
2,0,0,0,1,3,1,1,2,0,0,0.9399999999999994,False
2,0,0,0,1,3,1,2,0,0,1,0.9199999999999993,False
2,0,0,0,1,3,1,2,0,1,0,0.048471249975377086,True
2,0,0,0,1,3,1,2,1,0,0,0.9399999999999994,False
2,0,0,0,1,3,1,3,0,0,0,0.9399999999999994,False
2,0,0,0,1,3,2,0,0,0,2,0.8999999999999991,False
2,0,0,0,1,3,2,0,0,1,1,0.9199999999999993,False
2,0,0,0,1,3,2,0,0,2,0,0.13196166614481142,True
2,0,0,0,1,3,2,0,1,0,1,0.9199999999999993,False
2,0,0,0,1,3,2,0,1,1,0,0.9280975349622452,False
2,0,0,0,1,3,2,0,2,0,0,0.9399999999999994,False
2,0,0,0,1,3,2,1,0,0,1,0.9199999999999993,False
2,0,0,0,1,3,2,1,0,1,0,0.13980616078150387,True
2,0,0,0,1,3,2,1,1,0,0,0.9399999999999994,False
2,0,0,0,1,3,2,2,0,0,0,0.9399999999999994,False
2,0,0,0,1,3,3,0,0,0,1,0.9199999999999993,False
2,0,0,0,1,3,3,0,0,1,0,0.926859022262575,False
2,0,0,0,1,3,3,0,1,0,0,0.9399999999999994,False
2,0,0,0,1,3,3,1,0,0,0,0.9399999999999994,False
2,0,0,0,1,3,4,0,0,0,0,0.9399999999999994,False
2,0,0,0,2,2,0,0,0,0,4,0.8799999999999989,False
2,0,0,0,2,2,0,0,0,1,3,0.8999999999999991,False
2,0,0,0,2,2,0,0,0,2,2,0.9199999999999993,False
2,0,0,0,2,2,0,0,0,3,1,0.9399999999999994,False
2,0,0,0,2,2,0,0,0,4,0,0.03615741738552684,True
2,0,0,0,2,2,0,0,1,0,3,0.8999999999999991,False
2,0,0,0,2,2,0,0,1,1,2,0.9199999999999993,False
2,0,0,0,2,2,0,0,1,2,1,0.9399999999999994,False
2,0,0,0,2,2,0,0,1,3,0,0.04996695367544751,True
2,0,0,0,2,2,0,0,2,0,2,0.9199999999999993,False
2,0,0,0,2,2,0,0,2,1,1,0.9399999999999994,False
2,0,0,0,2,2,0,0,2,2,0,0.09329416593524736,True
2,0,0,0,2,2,0,0,3,0,1,0.9399999999999994,False
2,0,0,0,2,2,0,0,3,1,0,0.9458448924779008,False
2,0,0,0,2,2,0,0,4,0,0,0.9599999999999996,False
2,0,0,0,2,2,0,1,0,0,3,0.8999999999999991,False
2,0,0,0,2,2,0,1,0,1,2,0.9199999999999993,False
2,0,0,0,2,2,0,1,0,2,1,0.9399999999999994,False
2,0,0,0,2,2,0,1,0,3,0,0.03985648215098957,True
2,0,0,0,2,2,0,1,1,0,2,0.9199999999999993,False
2,0,0,0,2,2,0,1,1,1,1,0.9399999999999994,False
2,0,0,0,2,2,0,1,1,2,0,0.05521585984787743,True
2,0,0,0,2,2,0,1,2,0,1,0.9399999999999994,False
2,0,0,0,2,2,0,1,2,1,0,0.1018916524308793,True
2,0,0,0,2,2,0,1,3,0,0,0.9599999999999996,False
2,0,0,0,2,2,0,2,0,0,2,0.9199999999999993,False
2,0,0,0,2,2,0,2,0,1,1,0.9399999999999994,False
2,0,0,0,2,2,0,2,0,2,0,0.04302467762959568,True
2,0,0,0,2,2,0,2,1,0,1,0.9399999999999994,False
2,0,0,0,2,2,0,2,1,1,0,0.05879711798215974,True
2,0,0,0,2,2,0,2,2,0,0,0.9599999999999996,False
2,0,0,0,2,2,0,3,0,0,1,0.9399999999999994,False
2,0,0,0,2,2,0,3,0,1,0,0.045044106968614016,True
2,0,0,0,2,2,0,3,1,0,0,0.9599999999999996,False
2,0,0,0,2,2,0,4,0,0,0,0.9599999999999996,False
2,0,0,0,2,2,1,0,0,0,3,0.8999999999999991,False
2,0,0,0,2,2,1,0,0,1,2,0.9199999999999993,False
2,0,0,0,2,2,1,0,0,2,1,0.9399999999999994,False
2,0,0,0,2,2,1,0,0,3,0,0.04996695367544751,True
2,0,0,0,2,2,1,0,1,0,2,0.9199999999999993,False
2,0,0,0,2,2,1,0,1,1,1,0.9399999999999994,False
2,0,0,0,2,2,1,0,1,2,0,0.09329416593524736,True
2,0,0,0,2,2,1,0,2,0,1,0.9399999999999994,False
2,0,0,0,2,2,1,0,2,1,0,0.9429571722273702,False
2,0,0,0,2,2,1,0,3,0,0,0.9599999999999996,False
2,0,0,0,2,2,1,1,0,0,2,0.9199999999999993,False
2,0,0,0,2,2,1,1,0,1,1,0.9399999999999994,False
2,0,0,0,2,2,1,1,0,2,0,0.05521585984787743,True
2,0,0,0,2,2,1,1,1,0,1,0.9399999999999994,False
2,0,0,0,2,2,1,1,1,1,0,0.10107293033272802,True
2,0,0,0,2,2,1,1,2,0,0,0.9599999999999996,False
2,0,0,0,2,2,1,2,0,0,1,0.9399999999999994,False
2,0,0,0,2,2,1,2,0,1,0,0.05839192242060584,True
2,0,0,0,2,2,1,2,1,0,0,0.9599999999999996,False
2,0,0,0,2,2,1,3,0,0,0,0.9599999999999996,False
2,0,0,0,2,2,2,0,0,0,2,0.9199999999999993,False
2,0,0,0,2,2,2,0,0,1,1,0.9399999999999994,False
2,0,0,0,2,2,2,0,0,2,0,0.09329416593524736,True
2,0,0,0,2,2,2,0,1,0,1,0.9399999999999994,False
2,0,0,0,2,2,2,0,1,1,0,0.9414526579650508,False
2,0,0,0,2,2,2,0,2,0,0,0.9599999999999996,False
2,0,0,0,2,2,2,1,0,0,1,0.9399999999999994,False
2,0,0,0,2,2,2,1,0,1,0,0.10023620811507862,True
2,0,0,0,2,2,2,1,1,0,0,0.9599999999999996,False
2,0,0,0,2,2,2,2,0,0,0,0.9599999999999996,False
2,0,0,0,2,2,3,0,0,0,1,0.9399999999999994,False
2,0,0,0,2,2,3,0,0,1,0,0.9404788402540893,False
2,0,0,0,2,2,3,0,1,0,0,0.9599999999999996,False
2,0,0,0,2,2,3,1,0,0,0,0.9599999999999996,False
2,0,0,0,2,2,4,0,0,0,0,0.9599999999999996,False
2,0,0,0,3,1,0,0,0,0,4,0.8999999999999991,False
2,0,0,0,3,1,0,0,0,1,3,0.9199999999999993,False
2,0,0,0,3,1,0,0,0,2,2,0.9399999999999994,False
2,0,0,0,3,1,0,0,0,3,1,0.9599999999999996,False
2,0,0,0,3,1,0,0,0,4,0,0.05405164373535368,True
2,0,0,0,3,1,0,0,1,0,3,0.9199999999999993,False
2,0,0,0,3,1,0,0,1,1,2,0.9399999999999994,False
2,0,0,0,3,1,0,0,1,2,1,0.9599999999999996,False
2,0,0,0,3,1,0,0,1,3,0,0.06454079135186055,True
2,0,0,0,3,1,0,0,2,0,2,0.9399999999999994,False
2,0,0,0,3,1,0,0,2,1,1,0.9599999999999996,False
2,0,0,0,3,1,0,0,2,2,0,0.09213854305545643,True
2,0,0,0,3,1,0,0,3,0,1,0.9599999999999996,False
2,0,0,0,3,1,0,0,3,1,0,0.8675875972762404,False
2,0,0,0,3,1,0,0,4,0,0,0.9799999999999998,False
2,0,0,0,3,1,0,1,0,0,3,0.9199999999999993,False
2,0,0,0,3,1,0,1,0,1,2,0.9399999999999994,False
2,0,0,0,3,1,0,1,0,2,1,0.9599999999999996,False
2,0,0,0,3,1,0,1,0,3,0,0.05721614748025519,True
2,0,0,0,3,1,0,1,1,0,2,0.9399999999999994,False
2,0,0,0,3,1,0,1,1,1,1,0.9599999999999996,False
2,0,0,0,3,1,0,1,1,2,0,0.06932245867201677,True
2,0,0,0,3,1,0,1,2,0,1,0.9599999999999996,False
2,0,0,0,3,1,0,1,2,1,0,0.09984579029943323,True
2,0,0,0,3,1,0,1,3,0,0,0.9799999999999998,False
2,0,0,0,3,1,0,2,0,0,2,0.9399999999999994,False
2,0,0,0,3,1,0,2,0,1,1,0.9599999999999996,False
2,0,0,0,3,1,0,2,0,2,0,0.060270900345577846,True
2,0,0,0,3,1,0,2,1,0,1,0.9599999999999996,False
2,0,0,0,3,1,0,2,1,1,0,0.07281754111551987,True
2,0,0,0,3,1,0,2,2,0,0,0.9799999999999998,False
2,0,0,0,3,1,0,3,0,0,1,0.9599999999999996,False
2,0,0,0,3,1,0,3,0,1,0,0.06252250976302957,True
2,0,0,0,3,1,0,3,1,0,0,0.9799999999999998,False
2,0,0,0,3,1,0,4,0,0,0,0.9799999999999998,False
2,0,0,0,3,1,1,0,0,0,3,0.9199999999999993,False
2,0,0,0,3,1,1,0,0,1,2,0.9399999999999994,False
