m,g0_cooperative,g0_conditional_cooperator,g0_compensating_cooperator,g0_selfish,g0_sanctioning,g1_cooperative,g1_conditional_cooperator,g1_compensating_cooperator,g1_selfish,g1_sanctioning,g2_cooperative,g2_conditional_cooperator,g2_compensating_cooperator,g2_selfish,g2_sanctioning,g3_cooperative,g3_conditional_cooperator,g3_compensating_cooperator,g3_selfish,g3_sanctioning,welfare_efficiency,collapsed
4,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0.8399999999999985,False
4,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,1,1,0.8599999999999988,False
4,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,2,0,0.5340210857592642,False
4,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,1,0,1,0.8599999999999988,False
4,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,1,1,0,0.8713930648803714,False
4,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,2,0,0,0.8799999999999989,False
4,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,1,0,0,1,0.8599999999999988,False
4,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,1,0,1,0,0.5382907965727763,False
4,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,1,1,0,0,0.8799999999999989,False
4,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,2,0,0,0,0.8799999999999989,False
4,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,1,0,0,0,1,0.8599999999999988,False
4,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,1,0,0,1,0,0.8707812500000002,False
4,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,1,0,1,0,0,0.8799999999999989,False
4,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,1,1,0,0,0,0.8799999999999989,False
4,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0.8799999999999989,False
4,0,0,0,0,2,0,0,0,0,2,0,0,0,1,1,0,0,0,0,2,0.8599999999999988,False
4,0,0,0,0,2,0,0,0,0,2,0,0,0,1,1,0,0,0,1,1,0.8799999999999989,False
4,0,0,0,0,2,0,0,0,0,2,0,0,0,1,1,0,0,0,2,0,0.09196166614481151,True
4,0,0,0,0,2,0,0,0,0,2,0,0,0,1,1,0,0,1,0,1,0.8799999999999989,False
4,0,0,0,0,2,0,0,0,0,2,0,0,0,1,1,0,0,1,1,0,0.8880975349622454,False
4,0,0,0,0,2,0,0,0,0,2,0,0,0,1,1,0,0,2,0,0,0.8999999999999991,False
4,0,0,0,0,2,0,0,0,0,2,0,0,0,1,1,0,1,0,0,1,0.8799999999999989,False
4,0,0,0,0,2,0,0,0,0,2,0,0,0,1,1,0,1,0,1,0,0.09980616078150394,True
4,0,0,0,0,2,0,0,0,0,2,0,0,0,1,1,0,1,1,0,0,0.8999999999999991,False
4,0,0,0,0,2,0,0,0,0,2,0,0,0,1,1,0,2,0,0,0,0.8999999999999991,False
4,0,0,0,0,2,0,0,0,0,2,0,0,0,1,1,1,0,0,0,1,0.8799999999999989,False
4,0,0,0,0,2,0,0,0,0,2,0,0,0,1,1,1,0,0,1,0,0.8868590222625751,False
4,0,0,0,0,2,0,0,0,0,2,0,0,0,1,1,1,0,1,0,0,0.8999999999999991,False
4,0,0,0,0,2,0,0,0,0,2,0,0,0,1,1,1,1,0,0,0,0.8999999999999991,False
4,0,0,0,0,2,0,0,0,0,2,0,0,0,1,1,2,0,0,0,0,0.8999999999999991,False
4,0,0,0,0,2,0,0,0,0,2,0,0,0,2,0,0,0,0,0,2,0.5340210857592642,False
4,0,0,0,0,2,0,0,0,0,2,0,0,0,2,0,0,0,0,1,1,0.09196166614481151,True
4,0,0,0,0,2,0,0,0,0,2,0,0,0,2,0,0,0,0,2,0,0.0059356524344511006,True
4,0,0,0,0,2,0,0,0,0,2,0,0,0,2,0,0,0,1,0,1,0.5540210857592641,False
4,0,0,0,0,2,0,0,0,0,2,0,0,0,2,0,0,0,1,1,0,0.044197802380925945,True
