m,g0_cooperative,g0_conditional_cooperator,g0_compensating_cooperator,g0_selfish,g0_sanctioning,outsider_cooperative,outsider_conditional_cooperator,outsider_compensating_cooperator,outsider_selfish,outsider_sanctioning,welfare_efficiency,collapsed
1,2,1,2,3,0,0,0,4,0,0,0.08809613574483868,True
1,0,0,1,3,4,1,0,0,0,3,0.8589020136773876,False
1,0,3,3,1,1,0,2,1,0,1,0.9594709815527923,False
1,0,1,4,0,3,0,0,3,1,0,0.9330477760370972,False
1,2,2,3,0,1,4,0,0,0,0,0.9784622096257487,False
1,0,0,8,0,0,1,3,0,0,0,0.6641958949041152,False
1,0,0,1,7,0,0,0,0,3,1,0.04333625959159529,True
1,0,1,0,2,5,0,2,0,2,0,-0.0050060729650510645,True
1,0,3,1,4,0,2,2,0,0,0,0.0667888888888889,True
1,2,0,4,1,1,0,0,0,3,1,0.9568806092487334,False
1,2,0,0,2,4,0,2,0,0,2,0.8771696113160673,False
1,2,5,0,1,0,4,0,0,0,0,0.07650283429871609,True
1,1,1,2,0,4,0,2,1,0,1,0.8995585453683188,False
1,1,2,0,0,5,1,0,0,0,3,0.8394834422818969,False
1,3,2,3,0,0,0,0,0,0,4,0.5788197091460259,False
1,3,0,4,1,0,0,1,1,1,1,0.9622962043629028,False
1,2,3,2,1,0,1,3,0,0,0,0.07650882214628393,True
1,1,0,1,1,5,1,0,0,0,3,0.8394271154491624,False
1,0,1,6,1,0,0,2,0,2,0,0.08267852561553532,True
1,7,0,0,0,1,1,0,2,1,0,0.9733106156728939,False
1,0,1,0,7,0,0,0,2,2,0,0.060000000000000005,True
1,1,0,4,3,0,0,0,3,0,1,0.09989855995460704,True
1,1,0,2,3,2,1,0,3,0,0,0.9579300649710994,False
1,2,0,4,2,0,0,3,1,0,0,0.09218911764889688,True
1,3,2,2,1,0,0,0,1,0,3,0.07383042176660229,True
1,3,0,0,4,1,2,0,1,0,1,0.9581676432738244,False
1,1,4,3,0,0,0,1,0,0,3,0.030070735533598285,True
1,5,1,0,2,0,1,1,1,0,1,0.08458344752606828,True
1,0,0,6,1,1,1,0,0,2,1,0.9565687738440861,False
1,3,5,0,0,0,1,1,0,1,1,0.05788838325923885,True
1,2,0,1,3,2,0,1,3,0,0,0.9554768627067003,False
1,2,4,0,1,1,0,0,1,3,0,0.07037910405403035,True
1,0,0,2,6,0,0,2,1,1,0,0.061900000000000004,True
1,3,1,1,0,3,1,0,0,2,1,0.9185444760576731,False
1,0,0,6,1,1,0,2,1,1,0,0.1821543238250719,True
1,4,1,0,3,0,0,0,3,0,1,0.0680961357448387,True
1,1,0,4,3,0,1,0,0,0,3,0.0598985599546071,True
1,1,2,0,3,2,1,1,0,1,1,0.9317513741170389,False
1,0,2,0,2,4,1,1,0,2,0,0.022018784924715304,True
1,1,0,2,1,4,0,2,0,1,1,0.8989490045676136,False
1,2,2,2,0,2,0,4,0,0,0,0.06675138639323586,True
1,2,4,0,0,2,0,0,2,0,2,0.9199944456134446,False
1,2,0,5,1,0,0,1,1,2,0,0.1252030823774931,True
1,1,4,2,1,0,0,3,0,0,1,0.056511865313026356,True
1,0,2,0,2,4,2,0,1,1,0,0.8964626936862864,False
1,1,0,4,3,0,0,4,0,0,0,0.07451542656193272,True
1,5,1,1,0,1,0,2,1,0,1,0.9600032425263949,False
1,2,3,0,1,2,1,0,1,2,0,0.09484844387146682,True
1,4,0,1,1,2,0,0,1,2,1,0.9379814203366366,False
1,0,3,1,2,2,0,0,0,4,0,0.039947571958606626,True
1,3,2,2,0,1,1,0,1,1,1,0.9588103730967947,False
1,1,1,0,4,2,0,4,0,0,0,0.04916578592643978,True
1,0,0,4,3,1,0,2,0,2,0,0.07499392703459744,True
1,5,0,2,0,1,1,0,1,1,1,0.9580631826785555,False
1,0,2,6,0,0,2,1,1,0,0,0.18028070158736953,True
1,1,1,0,1,5,2,0,1,0,1,0.8796859018012151,False
1,0,1,4,2,1,0,3,1,0,0,0.10262335083554856,True
1,0,1,4,0,3,0,3,0,0,1,0.919180629568091,False
1,3,0,2,1,2,3,1,0,0,0,0.953021005558681,False
1,0,4,0,4,0,1,3,0,0,0,0.0667888888888889,True
1,4,4,0,0,0,1,2,0,0,1,0.06458733202353897,True
1,1,0,2,5,0,0,2,1,0,1,0.048039795510758355,True
1,0,1,3,4,0,3,0,0,0,1,0.05496332795497824,True
1,1,3,0,2,2,0,0,2,2,0,0.07448038147664322,True
1,3,0,3,2,0,0,0,1,1,2,0.16020782803374944,True
1,4,1,0,0,3,0,0,4,0,0,0.938323670933961,False
1,0,1,6,0,1,0,1,1,1,1,0.9549559377739039,False
1,3,2,0,0,3,1,3,0,0,0,0.0775189667135773,True
1,2,0,3,2,1,0,0,1,3,0,0.10699089775599184,True
1,1,0,5,2,0,1,1,1,0,1,0.181362289110613,True
1,2,0,3,2,1,2,0,1,1,0,0.9695315546248968,False
1,1,4,1,1,1,0,3,0,1,0,0.06814913789554623,True
1,1,6,1,0,0,0,0,0,1,3,0.014950929763078878,True
1,2,2,4,0,0,0,0,4,0,0,0.6628479118307485,False
1,2,3,0,0,3,3,1,0,0,0,0.922969705062508,False
1,3,0,3,0,2,0,4,0,0,0,0.13586370742855597,True
1,3,1,0,3,1,1,0,2,1,0,0.9620086127186213,False
1,0,1,1,4,2,1,0,0,2,1,0.928416997225873,False
1,1,1,3,3,0,0,1,1,1,1,0.05854249533113952,True
1,1,2,0,3,2,0,0,0,0,4,0.8779192740975822,False
1,6,1,1,0,0,0,3,1,0,0,0.13312778555766286,True
1,1,3,1,1,2,0,1,2,0,1,0.9396500123300067,False
1,1,3,2,0,2,0,0,3,1,0,0.9530251300294414,False
1,4,1,1,1,1,1,0,0,3,0,0.10699089775824182,True
1,4,0,1,0,3,2,2,0,0,0,0.9227813313149142,False
1,2,0,5,1,0,0,2,0,0,2,0.9434772847483375,False
1,0,1,6,0,1,1,1,0,2,0,0.1739509111077039,True
1,3,1,0,0,4,0,1,1,1,1,0.8989552977063677,False
1,1,5,0,1,1,3,0,1,0,0,0.9754129158182673,False
1,5,1,0,0,2,0,0,0,0,4,0.8797824834558648,False
1,2,0,3,3,0,1,0,1,2,0,0.07814749178158457,True
1,1,3,0,0,4,0,0,0,2,2,0.8749962348472355,False
1,0,1,1,4,2,1,1,0,1,1,0.9302813123270762,False
1,4,1,3,0,0,1,0,1,0,2,0.9541206550599466,False
1,0,3,2,2,1,0,0,1,2,1,0.95721873594884,False
1,0,3,2,3,0,0,0,2,1,1,0.05168373089815092,True
1,0,0,7,1,0,2,1,0,1,0,0.3064326293092484,False
1,3,3,0,2,0,0,0,1,3,0,0.06845813223946548,True
1,3,0,5,0,0,3,1,0,0,0,0.9997991029883504,False
1,3,1,0,2,2,0,1,0,1,2,0.9173618154487804,False
1,0,1,2,5,0,2,0,2,0,0,0.0682508047786385,True
1,6,0,1,1,0,0,1,1,2,0,0.1252030823774931,True
