m,g0_cooperative,g0_conditional_cooperator,g0_compensating_cooperator,g0_selfish,g0_sanctioning,g1_cooperative,g1_conditional_cooperator,g1_compensating_cooperator,g1_selfish,g1_sanctioning,outsider_cooperative,outsider_conditional_cooperator,outsider_compensating_cooperator,outsider_selfish,outsider_sanctioning,welfare_efficiency,collapsed
2,1,0,0,1,2,0,0,1,0,3,0,1,1,1,1,0.8789315208455712,False
2,3,1,0,0,0,0,0,1,3,0,1,0,0,3,0,0.0682508047786385,True
2,0,0,2,2,0,1,1,2,0,0,0,1,0,0,3,0.044583447526068354,True
2,0,1,0,2,1,1,0,0,0,3,2,0,0,0,2,0.8784992041437683,False
2,0,2,0,1,1,2,2,0,0,0,1,0,1,1,1,0.06667526196669118,True
2,1,0,2,1,0,0,3,1,0,0,2,0,0,2,0,0.07775516798836901,True
2,0,4,0,0,0,0,3,0,0,1,1,0,1,2,0,0.05519048448728095,True
2,1,0,2,1,0,0,2,0,1,1,2,0,1,0,1,0.8339883770617615,False
2,1,0,2,0,1,0,0,0,2,2,0,1,0,2,1,0.9168255539649768,False
2,0,0,0,0,4,2,0,2,0,0,0,0,0,0,4,0.8385234692889143,False
2,0,0,0,1,3,0,1,2,0,1,1,2,0,1,0,0.05917730077386284,True
2,2,1,0,1,0,1,1,2,0,0,3,1,0,0,0,0.10310943000280443,True
2,0,0,2,1,1,0,0,2,0,2,3,1,0,0,0,0.9380388772067006,False
2,0,0,0,3,1,2,0,0,1,1,0,1,0,0,3,0.8970440478493451,False
2,1,1,0,0,2,1,1,1,0,1,1,1,0,0,2,0.8997531652944689,False
2,1,1,1,1,0,0,1,2,0,1,0,0,0,1,3,0.059988306477400596,True
2,0,1,0,0,3,2,0,1,1,0,1,1,0,2,0,0.04034479721271342,True
2,0,1,3,0,0,2,0,0,1,1,0,0,0,1,3,0.8972922777354594,False
2,0,2,1,0,1,0,0,0,2,2,1,0,0,0,3,0.8793306878570174,False
2,1,1,0,0,2,0,1,3,0,0,0,0,2,2,0,0.10206780135700974,True
2,1,0,0,3,0,0,2,1,0,1,0,2,1,1,0,0.05158890752368732,True
2,2,1,1,0,0,1,1,0,1,1,0,0,0,4,0,0.06162948876659965,True
2,1,0,0,0,3,2,1,1,0,0,0,2,0,1,1,0.7963059707713424,False
2,0,0,0,0,4,0,2,0,0,2,1,1,2,0,0,0.8728109246357427,False
