m,g0_cooperative,g0_conditional_cooperator,g0_compensating_cooperator,g0_selfish,g0_sanctioning,g1_cooperative,g1_conditional_cooperator,g1_compensating_cooperator,g1_selfish,g1_sanctioning,g2_cooperative,g2_conditional_cooperator,g2_compensating_cooperator,g2_selfish,g2_sanctioning,g3_cooperative,g3_conditional_cooperator,g3_compensating_cooperator,g3_selfish,g3_sanctioning,outsider_cooperative,outsider_conditional_cooperator,outsider_compensating_cooperator,outsider_selfish,outsider_sanctioning,welfare_efficiency,collapsed
4,0,0,1,0,1,0,0,0,2,0,0,0,1,0,1,0,1,0,0,1,0,0,0,4,0,0.011202255027431088,True
4,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,1,0,1,0,3,0,1,0,0,0.09830815719918032,True
4,0,1,0,0,1,0,0,1,1,0,0,2,0,0,0,0,0,0,1,1,0,1,0,1,2,0.0072929131898020316,True
4,0,0,2,0,0,0,2,0,0,0,0,0,1,1,0,0,2,0,0,0,2,1,0,1,0,0.0741590671603554,True
4,2,0,0,0,0,1,1,0,0,0,2,0,0,0,0,1,0,0,0,1,0,1,2,0,1,0.9473461055664312,False
4,0,0,0,2,0,1,0,0,1,0,0,0,0,0,2,0,0,1,1,0,0,1,2,1,0,0.031213064960372842,True
4,0,2,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,2,0,0,1,1,2,0,0.04880424253424001,True
4,0,1,0,0,1,0,2,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,1,3,-0.007795409281794039,True
4,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,2,0,1,0,1,0.8990908809831051,False
4,2,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,1,0,0,1,0,1,2,0,1,0.04511297510876526,True
4,0,0,1,0,1,2,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,1,1,0,2,0.9181400451865773,False
4,0,2,0,0,0,2,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,3,0,0,1,0.05650573913743092,True
4,0,0,1,0,1,0,0,2,0,0,1,0,1,0,0,0,1,1,0,0,2,1,0,0,1,0.9526354064242182,False
4,1,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,1,0,0,2,0,1,1,0,0.07330403432577472,True
4,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,2,0,0,0,0,1,2,1,0,0.06724374999999999,True
4,0,0,2,0,0,2,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,3,0.9182445569037981,False
4,0,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,3,0,1,0,0,0.14332058816520785,True
4,0,0,0,2,0,0,0,0,0,2,0,1,1,0,0,1,1,0,0,0,0,3,0,1,0,0.03155116548787353,True
4,2,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,3,0,1,0.09448918833621806,True
4,0,0,2,0,0,0,0,1,0,1,0,2,0,0,0,0,1,1,0,0,0,1,3,0,0,0.08575337210629125,True
4,1,0,1,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,2,0,0,1,0,1,2,0.01898427344379015,True
4,0,1,0,0,1,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,1,3,0,0.04332058816520816,True
4,0,0,1,1,0,0,0,1,1,0,0,0,0,0,2,1,0,0,0,1,2,0,1,1,0,0.09997463294020437,True
4,2,0,0,0,0,0,1,0,0,1,0,0,0,2,0,1,1,0,0,0,0,0,1,3,0,0.05232812020728311,True
4,1,0,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,1,0,2,1,1,0,0.06954037900022986,True
4,1,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,1,1,0,0,0,2,0,2,0.05382791002757007,True
4,0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,2,0,2,0,1,1,0.10932989350297148,True
4,0,1,1,0,0,1,0,1,0,0,0,2,0,0,0,0,1,0,1,0,1,0,1,2,0,0.07316434554840524,True
4,0,0,0,2,0,2,0,0,0,0,1,0,0,0,1,1,1,0,0,0,4,0,0,0,0,0.10760056426778129,True
4,0,1,0,1,0,0,0,0,2,0,0,0,0,0,2,0,2,0,0,0,4,0,0,0,0,0.03316005389067191,True
4,0,1,0,0,1,1,0,0,0,1,0,0,2,0,0,1,1,0,0,0,1,1,1,1,0,0.10566306923329292,True
4,0,0,1,1,0,0,0,0,2,0,1,0,0,1,0,1,0,1,0,0,0,1,0,2,1,0.052211117800412585,True
4,0,0,1,1,0,2,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,1,1,0,2,0.9071617059767828,False
4,0,0,0,0,2,0,1,1,0,0,0,0,0,2,0,0,0,1,0,1,1,0,2,1,0,0.03592476557341188,True
4,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,0,2,0,0,0,2,1,0,1,0,0.029991247393168326,True
4,0,1,0,0,1,0,1,0,0,1,0,2,0,0,0,1,0,1,0,0,0,0,3,1,0,0.06609893904495105,True
4,0,2,0,0,0,0,0,1,1,0,0,1,1,0,0,2,0,0,0,0,1,2,0,0,1,0.06502066687917667,True
