cooperator_type,n_selfish,sustainability_ratio,welfare_efficiency,collapsed,selfish_payoff
compensating_cooperator,0,0.5,1.0,0.0,
compensating_cooperator,1,0.4689453125,0.9934027572631831,0.0,690.7036649703977
compensating_cooperator,2,0.16722117559463326,0.654021085759264,0.0,323.260542879632
compensating_cooperator,3,3.2505354262725236e-07,0.12419780238092583,1.0,39.31593412697527
compensating_cooperator,4,9.255026566264295e-17,0.08593565243445096,1.0,20.233913108612743
compensating_cooperator,5,3.317206615198089e-29,0.07331906337393412,1.0,13.913812674786827
compensating_cooperator,6,8.625833860432777e-47,0.06687782921992085,1.0,10.72963820332014
compensating_cooperator,7,7.034036247588407e-77,0.06285953409608667,1.0,8.801362013726667
compensating_cooperator,8,0.0,0.06,1.0,7.5
conditional_cooperator,0,0.5,1.0,0.0,
conditional_cooperator,1,0.0,0.06984375,1.0,14.19921875
conditional_cooperator,2,0.0,0.069375,1.0,13.359375
conditional_cooperator,3,0.0,0.06859375,1.0,12.48046875
conditional_cooperator,4,0.0,0.0675,1.0,11.5625
conditional_cooperator,5,0.0,0.06609375,1.0,10.60546875
conditional_cooperator,6,0.0,0.064375,1.0,9.609375
conditional_cooperator,7,0.0,0.06234375,1.0,8.57421875
conditional_cooperator,8,0.0,0.06,1.0,7.5
reputation_cooperator,0,0.5,1.0,0.0,
reputation_cooperator,1,0.0953363710647533,0.5595139364646512,0.0,276.89377053898494
reputation_cooperator,2,0.09372162876469,0.20438091330253516,1.0,81.44091563838818
reputation_cooperator,3,2.3488119600314464e-09,0.07887113044701391,1.0,17.427840412095186
reputation_cooperator,4,1.0108211331417702e-18,0.07220896416663691,1.0,13.749884756509914
reputation_cooperator,5,4.281439716628653e-31,0.06751030325208345,1.0,11.245903239588886
reputation_cooperator,6,0.0,0.06469905999892253,1.0,9.753061287096763
reputation_cooperator,7,0.0,0.06234375,1.0,8.57421875
reputation_cooperator,8,0.0,0.06,1.0,7.5
