initial_level,information_model,config_name,seed,num_agents,rounds,total_harvest,mean_agent_payoff,efficiency,final_resource_level,sustainability_ratio,mean_resource_level,collapsed,collapse_round,survival_time,over_usage_rate,payoff_gini
10.0,global,E1,1,8,100,939.9080465746615,117.48850582183269,0.9399080465746615,50.0,0.5,48.780091413500074,False,,100,0.0,0.0
10.0,global,E1,2,8,100,939.9080465746615,117.48850582183269,0.9399080465746615,50.0,0.5,48.780091413500074,False,,100,0.0,0.0
10.0,global,E1,3,8,100,939.9080465746615,117.48850582183269,0.9399080465746615,50.0,0.5,48.780091413500074,False,,100,0.0,0.0
10.0,global,E1,4,8,100,939.9080465746615,117.48850582183269,0.9399080465746615,50.0,0.5,48.780091413500074,False,,100,0.0,0.0
10.0,global,E1,5,8,100,939.9080465746615,117.48850582183269,0.9399080465746615,50.0,0.5,48.780091413500074,False,,100,0.0,0.0
10.0,private,E1,1,8,100,14.98816,1.87352,0.01498816,0.0,0.0,0.036,True,1,1,0.0,0.0
10.0,private,E1,2,8,100,14.98816,1.87352,0.01498816,0.0,0.0,0.036,True,1,1,0.0,0.0
10.0,private,E1,3,8,100,14.98816,1.87352,0.01498816,0.0,0.0,0.036,True,1,1,0.0,0.0
10.0,private,E1,4,8,100,14.98816,1.87352,0.01498816,0.0,0.0,0.036,True,1,1,0.0,0.0
10.0,private,E1,5,8,100,14.98816,1.87352,0.01498816,0.0,0.0,0.036,True,1,1,0.0,0.0
20.0,global,E1,1,8,100,962.9834865814663,120.37293582268329,0.9629834865814663,50.0,0.5,49.53742237923738,False,,100,0.0,0.0
20.0,global,E1,2,8,100,962.9834865814663,120.37293582268329,0.9629834865814663,50.0,0.5,49.53742237923738,False,,100,0.0,0.0
20.0,global,E1,3,8,100,962.9834865814663,120.37293582268329,0.9629834865814663,50.0,0.5,49.53742237923738,False,,100,0.0,0.0
20.0,global,E1,4,8,100,962.9834865814663,120.37293582268329,0.9629834865814663,50.0,0.5,49.53742237923738,False,,100,0.0,0.0
20.0,global,E1,5,8,100,962.9834865814663,120.37293582268329,0.9629834865814663,50.0,0.5,49.53742237923738,False,,100,0.0,0.0
20.0,private,E1,1,8,100,38.354527331467764,4.7943159164334705,0.03835452733146776,0.0,0.0,0.34357050964377595,True,3,3,0.0,0.0
20.0,private,E1,2,8,100,38.354527331467764,4.7943159164334705,0.03835452733146776,0.0,0.0,0.34357050964377595,True,3,3,0.0,0.0
20.0,private,E1,3,8,100,38.354527331467764,4.7943159164334705,0.03835452733146776,0.0,0.0,0.34357050964377595,True,3,3,0.0,0.0
20.0,private,E1,4,8,100,38.354527331467764,4.7943159164334705,0.03835452733146776,0.0,0.0,0.34357050964377595,True,3,3,0.0,0.0
20.0,private,E1,5,8,100,38.354527331467764,4.7943159164334705,0.03835452733146776,0.0,0.0,0.34357050964377595,True,3,3,0.0,0.0
30.0,global,E1,1,8,100,977.8434717188096,122.2304339648512,0.9778434717188096,50.0,0.5,49.8626176,False,,100,0.0,0.0
30.0,global,E1,2,8,100,977.8434717188096,122.2304339648512,0.9778434717188096,50.0,0.5,49.8626176,False,,100,0.0,0.0
30.0,global,E1,3,8,100,977.8434717188096,122.2304339648512,0.9778434717188096,50.0,0.5,49.8626176,False,,100,0.0,0.0
30.0,global,E1,4,8,100,977.8434717188096,122.2304339648512,0.9778434717188096,50.0,0.5,49.8626176,False,,100,0.0,0.0
30.0,global,E1,5,8,100,977.8434717188096,122.2304339648512,0.9778434717188096,50.0,0.5,49.8626176,False,,100,0.0,0.0
30.0,private,E1,1,8,100,84.05138284615714,10.506422855769642,0.08405138284615714,0.0,0.0,1.4637348878270433,True,8,8,0.0,0.0
30.0,private,E1,2,8,100,84.05138284615714,10.506422855769642,0.08405138284615714,0.0,0.0,1.4637348878270433,True,8,8,0.0,0.0
30.0,private,E1,3,8,100,84.05138284615714,10.506422855769642,0.08405138284615714,0.0,0.0,1.4637348878270433,True,8,8,0.0,0.0
30.0,private,E1,4,8,100,84.05138284615714,10.506422855769642,0.08405138284615714,0.0,0.0,1.4637348878270433,True,8,8,0.0,0.0
30.0,private,E1,5,8,100,84.05138284615714,10.506422855769642,0.08405138284615714,0.0,0.0,1.4637348878270433,True,8,8,0.0,0.0
40.0,global,E1,1,8,100,989.5993599999999,123.69991999999999,0.9895993599999999,50.0,0.5,49.996,False,,100,0.0,0.0
40.0,global,E1,2,8,100,989.5993599999999,123.69991999999999,0.9895993599999999,50.0,0.5,49.996,False,,100,0.0,0.0
40.0,global,E1,3,8,100,989.5993599999999,123.69991999999999,0.9895993599999999,50.0,0.5,49.996,False,,100,0.0,0.0
40.0,global,E1,4,8,100,989.5993599999999,123.69991999999999,0.9895993599999999,50.0,0.5,49.996,False,,100,0.0,0.0
40.0,global,E1,5,8,100,989.5993599999999,123.69991999999999,0.9895993599999999,50.0,0.5,49.996,False,,100,0.0,0.0
40.0,private,E1,1,8,100,215.81396626948026,26.976745783685033,0.21581396626948027,0.0,0.0,6.17053963090178,True,21,21,0.0,0.0
40.0,private,E1,2,8,100,215.81396626948026,26.976745783685033,0.21581396626948027,0.0,0.0,6.17053963090178,True,21,21,0.0,0.0
40.0,private,E1,3,8,100,215.81396626948026,26.976745783685033,0.21581396626948027,0.0,0.0,6.17053963090178,True,21,21,0.0,0.0
40.0,private,E1,4,8,100,215.81396626948026,26.976745783685033,0.21581396626948027,0.0,0.0,6.17053963090178,True,21,21,0.0,0.0
40.0,private,E1,5,8,100,215.81396626948026,26.976745783685033,0.21581396626948027,0.0,0.0,6.17053963090178,True,21,21,0.0,0.0
50.0,global,E1,1,8,100,1000.0,125.0,1.0,50.0,0.5,50.0,False,,100,0.0,0.0
50.0,global,E1,2,8,100,1000.0,125.0,1.0,50.0,0.5,50.0,False,,100,0.0,0.0
50.0,global,E1,3,8,100,1000.0,125.0,1.0,50.0,0.5,50.0,False,,100,0.0,0.0
50.0,global,E1,4,8,100,1000.0,125.0,1.0,50.0,0.5,50.0,False,,100,0.0,0.0
50.0,global,E1,5,8,100,1000.0,125.0,1.0,50.0,0.5,50.0,False,,100,0.0,0.0
50.0,private,E1,1,8,100,1000.0,125.0,1.0,50.0,0.5,50.0,False,,100,0.0,0.0
50.0,private,E1,2,8,100,1000.0,125.0,1.0,50.0,0.5,50.0,False,,100,0.0,0.0
50.0,private,E1,3,8,100,1000.0,125.0,1.0,50.0,0.5,50.0,False,,100,0.0,0.0
50.0,private,E1,4,8,100,1000.0,125.0,1.0,50.0,0.5,50.0,False,,100,0.0,0.0
50.0,private,E1,5,8,100,1000.0,125.0,1.0,50.0,0.5,50.0,False,,100,0.0,0.0
60.0,global,E1,1,8,100,1009.6,126.2,1.0096,50.0,0.5,50.0,False,,100,0.01,0.0
60.0,global,E1,2,8,100,1009.6,126.2,1.0096,50.0,0.5,50.0,False,,100,0.01,0.0
60.0,global,E1,3,8,100,1009.6,126.2,1.0096,50.0,0.5,50.0,False,,100,0.01,0.0
60.0,global,E1,4,8,100,1009.6,126.2,1.0096,50.0,0.5,50.0,False,,100,0.01,0.0
60.0,global,E1,5,8,100,1009.6,126.2,1.0096,50.0,0.5,50.0,False,,100,0.01,0.0
60.0,private,E1,1,8,100,1000.0,125.0,1.0,51.974114562632074,0.5197411456263208,53.93511073958599,False,,100,0.0,0.0
