knowledge_bias,information_model,config_name,seed,num_agents,rounds,total_harvest,mean_agent_payoff,efficiency,final_resource_level,sustainability_ratio,mean_resource_level,collapsed,collapse_round,survival_time,over_usage_rate,payoff_gini
0.6,global,E1,1,8,100,1000.0,125.0,1.0,50.0,0.5,50.0,False,,100,0.0,0.0
0.6,global,E1,2,8,100,1000.0,125.0,1.0,50.0,0.5,50.0,False,,100,0.0,0.0
0.6,global,E1,3,8,100,1000.0,125.0,1.0,50.0,0.5,50.0,False,,100,0.0,0.0
0.6,global,E1,4,8,100,1000.0,125.0,1.0,50.0,0.5,50.0,False,,100,0.0,0.0
0.6,global,E1,5,8,100,1000.0,125.0,1.0,50.0,0.5,50.0,False,,100,0.0,0.0
0.6,private,E1,1,8,100,600.0,75.0,0.6,81.62277660166677,0.8162277660166677,80.14092431497821,False,,100,0.0,0.0
0.6,private,E1,2,8,100,600.0,75.0,0.6,81.62277660166677,0.8162277660166677,80.14092431497821,False,,100,0.0,0.0
0.6,private,E1,3,8,100,600.0,75.0,0.6,81.62277660166677,0.8162277660166677,80.14092431497821,False,,100,0.0,0.0
0.6,private,E1,4,8,100,600.0,75.0,0.6,81.62277660166677,0.8162277660166677,80.14092431497821,False,,100,0.0,0.0
0.6,private,E1,5,8,100,600.0,75.0,0.6,81.62277660166677,0.8162277660166677,80.14092431497821,False,,100,0.0,0.0
0.8,global,E1,1,8,100,1000.0,125.0,1.0,50.0,0.5,50.0,False,,100,0.0,0.0
0.8,global,E1,2,8,100,1000.0,125.0,1.0,50.0,0.5,50.0,False,,100,0.0,0.0
0.8,global,E1,3,8,100,1000.0,125.0,1.0,50.0,0.5,50.0,False,,100,0.0,0.0
0.8,global,E1,4,8,100,1000.0,125.0,1.0,50.0,0.5,50.0,False,,100,0.0,0.0
0.8,global,E1,5,8,100,1000.0,125.0,1.0,50.0,0.5,50.0,False,,100,0.0,0.0
0.8,private,E1,1,8,100,800.0,100.0,0.8,72.3606796322759,0.723606796322759,70.80616880093977,False,,100,0.0,0.0
0.8,private,E1,2,8,100,800.0,100.0,0.8,72.3606796322759,0.723606796322759,70.80616880093977,False,,100,0.0,0.0
0.8,private,E1,3,8,100,800.0,100.0,0.8,72.3606796322759,0.723606796322759,70.80616880093977,False,,100,0.0,0.0
0.8,private,E1,4,8,100,800.0,100.0,0.8,72.3606796322759,0.723606796322759,70.80616880093977,False,,100,0.0,0.0
0.8,private,E1,5,8,100,800.0,100.0,0.8,72.3606796322759,0.723606796322759,70.80616880093977,False,,100,0.0,0.0
1.0,global,E1,1,8,100,1000.0,125.0,1.0,50.0,0.5,50.0,False,,100,0.0,0.0
1.0,global,E1,2,8,100,1000.0,125.0,1.0,50.0,0.5,50.0,False,,100,0.0,0.0
1.0,global,E1,3,8,100,1000.0,125.0,1.0,50.0,0.5,50.0,False,,100,0.0,0.0
1.0,global,E1,4,8,100,1000.0,125.0,1.0,50.0,0.5,50.0,False,,100,0.0,0.0
1.0,global,E1,5,8,100,1000.0,125.0,1.0,50.0,0.5,50.0,False,,100,0.0,0.0
1.0,private,E1,1,8,100,1000.0,125.0,1.0,50.0,0.5,50.0,False,,100,0.0,0.0
1.0,private,E1,2,8,100,1000.0,125.0,1.0,50.0,0.5,50.0,False,,100,0.0,0.0
1.0,private,E1,3,8,100,1000.0,125.0,1.0,50.0,0.5,50.0,False,,100,0.0,0.0
1.0,private,E1,4,8,100,1000.0,125.0,1.0,50.0,0.5,50.0,False,,100,0.0,0.0
1.0,private,E1,5,8,100,1000.0,125.0,1.0,50.0,0.5,50.0,False,,100,0.0,0.0
1.2,global,E1,1,8,100,1000.0,125.0,1.0,50.0,0.5,50.0,False,,100,0.0,0.0
1.2,global,E1,2,8,100,1000.0,125.0,1.0,50.0,0.5,50.0,False,,100,0.0,0.0
1.2,global,E1,3,8,100,1000.0,125.0,1.0,50.0,0.5,50.0,False,,100,0.0,0.0
1.2,global,E1,4,8,100,1000.0,125.0,1.0,50.0,0.5,50.0,False,,100,0.0,0.0
1.2,global,E1,5,8,100,1000.0,125.0,1.0,50.0,0.5,50.0,False,,100,0.0,0.0
