n_selfish,arrangement,welfare_efficiency,total_monitoring_cost,final_level_a,final_level_b,collapsed_a,collapsed_b
0,generalist,0.9096594171016947,80.0,59.6291201783626,54.95097567963924,False,False
0,specialist,0.8417487119766786,40.0,67.67766573548128,67.66109781285425,False,False
1,generalist,0.9103347297066555,80.0,59.53266028097575,54.93731605473734,False,False
1,specialist,0.8422563460215714,40.0,67.6776654300447,67.66063985523849,False,False
2,generalist,0.911184796039744,80.0,59.40971508067065,54.919333848296674,False,False
2,specialist,0.8428652778725985,40.0,67.67766508028438,67.65996407973036,False,False
3,generalist,0.9122895021986211,80.0,59.24746297158468,54.894589185502696,False,False
3,specialist,0.843631161954534,40.0,67.67766456444113,67.65917339028793,False,False
4,generalist,0.9137871185128499,80.0,59.023021085818485,54.85837703548613,False,False
4,specialist,0.8446456237126613,40.0,67.67766381316567,67.658035034873,False,False
5,generalist,0.9159415965639134,80.0,58.690810184498744,54.80029541958011,False,False
5,specialist,0.8460700322666823,40.0,67.6776625828273,67.65633023343837,False,False
6,generalist,0.9193371904351829,80.0,58.14324958568258,54.691814866665226,False,False
6,specialist,0.8483333333333332,40.0,67.67766009097392,67.65335359936294,False,False
