cooperator_type,n_selfish,sustain_mean,sustain_std
cooperative,0,0.5002302824161677,0.002093672353620015
cooperative,1,0.437351370857593,0.004130242607131968
cooperative,2,0.1645329746840606,0.007491902410622255
cooperative,3,3.0810701397711824e-07,5.800676820054012e-08
cooperative,4,8.637772024964006e-17,2.774300365411789e-17
cooperative,5,3.0034894440531054e-29,1.386553623924795e-29
cooperative,6,7.711292236405711e-47,5.919159379975202e-47
conditional_cooperator,0,6.6866528105267e-06,2.5097810486100536e-05
conditional_cooperator,1,0.0,0.0
conditional_cooperator,2,1.0805873480257718e-21,4.8325335316236984e-21
conditional_cooperator,3,7.703030442716438e-33,3.444899940532851e-32
conditional_cooperator,4,1.8630629313227342e-34,8.331870721595312e-34
conditional_cooperator,5,8.054933770667342e-47,3.590388732835197e-46
conditional_cooperator,6,0.0,0.0
sanctioning,0,0.5097309861523435,0.0002366194650378197
sanctioning,1,0.5096406975227583,0.00027455826465078604
sanctioning,2,0.5095467127078666,0.0002598199963697216
sanctioning,3,0.5094210341675891,0.00025564085351031176
sanctioning,4,0.5092136060282084,0.000249741926418718
sanctioning,5,0.509011363659378,0.00023692166640064874
sanctioning,6,0.5085441320202266,0.0003023930799847977
