N,selfish_fraction,sustain_mean
4,0.0,0.4999987989465387
4,0.125,0.4999987989465387
4,0.25,0.16504700501109226
4,0.375,9.19180011141111e-17
4,0.5,9.19180011141111e-17
8,0.0,0.5002302824161677
8,0.125,0.437351370857593
8,0.25,0.1645329746840606
8,0.375,3.0810701397711824e-07
8,0.5,8.637772024964006e-17
16,0.0,0.4995379235334771
16,0.125,0.4361373857552574
16,0.25,0.16616086982025244
16,0.375,3.227417797117188e-07
16,0.5,9.151234306723459e-17
32,0.0,0.4997931586140011
32,0.125,0.43739304733660633
32,0.25,0.16783086237968206
32,0.375,3.236198050244432e-07
32,0.5,9.175317735536561e-17
