g,n_selfish,sustain_mean
0.2,0,0.5001151417143601
0.2,1,0.2859429428959366
0.2,2,6.494634481137823e-06
0.2,3,1.0435881807641752e-13
0.2,4,2.2987409277159803e-23
0.2,5,7.475948144077878e-36
0.2,6,1.8630676602677185e-53
0.2,7,1.661281647528145e-83
0.4,0,0.5002302824161677
0.4,1,0.437351370857593
0.4,2,0.1645329746840606
0.4,3,3.0810701397711824e-07
0.4,4,8.637772024964006e-17
0.4,5,3.0034894440531054e-29
0.4,6,7.711292236405711e-47
0.4,7,6.978954558931692e-77
0.6,0,0.5003454210928531
0.6,1,0.43746597985706437
0.6,2,0.3746290009196215
0.6,3,0.023233618779424953
0.6,4,3.9719522777403076e-11
0.6,5,1.560175145364651e-23
0.6,6,4.1538974853469984e-41
0.6,7,3.814018914965665e-71
0.8,0,0.5004605567318124
0.8,1,0.43758069944731437
0.8,2,0.37473918330570477
0.8,3,0.24720033848803252
0.8,4,3.1608326717737412e-06
0.8,5,1.684048650917396e-18
0.8,6,4.708934410443868e-36
0.8,7,4.3889510110394637e-66
