generation,sustainability,share_sanctioning,share_cooperative,share_selfish
0,0.5,0.4,0.4,0.2
1,0.5,0.3152941176470588,0.45647058823529413,0.22823529411764706
2,0.5,0.24600481249768624,0.5026634583348759,0.25133172916743796
3,0.5,0.1905803103582563,0.5396131264278291,0.26980656321391455
4,0.5,0.1468980594513928,0.5687346270324048,0.2843673135162024
5,0.5,0.11281625386999311,0.591455830753338,0.295727915376669
6,0.5,0.08641188067876077,0.6090587462141596,0.3045293731070798
7,0.5,0.06605806314347046,0.6226279579043531,0.31131397895217655
8,0.5,0.050425270643272055,0.633049819571152,0.316524909785576
9,0.5,0.03845038615662523,0.6410330758955832,0.3205165379477916
10,0.5,0.029295510399516222,0.6471363264003226,0.3235681632001613
11,0.5,0.022306771426518313,0.6517954857156545,0.32589774285782724
12,0.5,0.016977464674443637,0.6553483568837043,0.32767417844185215
13,0.5,0.012916898896560627,0.6580554007356263,0.32902770036781315
14,0.004353598953881584,0.00982493540403114,0.660116709730646,0.330058354865323
15,6.902751419862954e-12,0.006877454782821798,0.47310725534116777,0.5200152898760105
16,8.368529877993158e-20,0.004814218347975258,0.3485368500101439,0.6466489316418809
17,1.4896331040976585e-28,0.0033699528435826805,0.2586287836468902,0.7380012635095271
18,2.317628755800162e-34,0.0023589669905078763,0.1928077378071237,0.8048332952023685
19,7.48461198385481e-42,0.0016512768933555134,0.1438118869288407,0.8545368361778038
20,2.057211861290225e-52,0.001155893825348859,0.10742915506523042,0.8914149511094206
21,6.59145649942742e-60,0.0008091256777442014,0.08042308736574323,0.9187677869565126
22,1.8004425351869614e-70,0.000566387974420941,0.06023452171374134,0.9391990903118377
23,1.8004425351869614e-70,0.0003964715820946587,0.04515280202211203,0.9544507263957933
24,1.5678869437391146e-88,0.00027753010746626105,0.03381727109994493,0.9659051987925888
25,1.5678869437391146e-88,0.00019427107522638272,0.02536188698659356,0.97444384193818
26,1.5678869437391146e-88,0.00013598975265846793,0.01901132901983375,0.9808526812275078
27,1.5678869437391146e-88,9.519282686092754e-05,0.014245778571197378,0.9856590286019418
28,0.0,6.663497880264927e-05,0.010671933393493836,0.9892614316277035
29,0.0,4.664448516185449e-05,0.007470353375445685,0.9924830021393926
30,0.0,3.265113961329814e-05,0.0052292473628119795,0.9947381014975748
31,0.0,2.2855797729308697e-05,0.0036604731539683854,0.9963166710483023
32,0.0,1.599905841051609e-05,0.00256233120777787,0.9974216697338116
33,0.0,1.1199340887361262e-05,0.001793631845444509,0.9981951688136681
34,0.0,7.839538621152883e-06,0.0012555422918111563,0.9987366181695677
35,0.0,5.487677034807017e-06,0.0008788796042678091,0.9991156327186973
36,0.0,3.841373924364913e-06,0.0006152157229874665,0.9993809429030882
37,0.0,2.6889617470554386e-06,0.00043065100609122637,0.9995666600321617
38,0.0,1.8822732229388069e-06,0.00030145570426385845,0.9996966620225133
39,0.0,1.3175912560571647e-06,0.0002110189929847009,0.9997876634157593
