response,n_selfish,sustainability,gini
retaliate,0,0.5,0.0
retaliate,1,0.0,0.1416494289054771
retaliate,2,0.0,0.2482530342037514
retaliate,3,0.0,0.32231878521631174
retaliate,4,0.0,0.36348949919224555
retaliate,5,0.0,0.3183962264150943
retaliate,6,0.0,0.217741935483871
retaliate,7,0.0,0.11091549295774646
restrain,0,0.5,0.0
restrain,1,0.0,0.7993323827302364
restrain,2,0.0,0.6454355491040064
restrain,3,0.0,0.5294981377136855
restrain,4,0.0,0.4192245557350565
restrain,5,0.0,0.3183962264150943
restrain,6,0.0,0.217741935483871
restrain,7,0.0,0.11091549295774648
enforce,0,0.5,0.0
enforce,1,0.5,0.020348837209302546
enforce,2,0.5,0.03409090909090945
enforce,3,0.5,0.041666666666667095
enforce,4,0.5,0.04347826086956565
enforce,5,0.5474707944821611,0.048616422498167416
enforce,6,0.5860768409431443,0.05899441922674542
enforce,7,0.5850026860948371,0.04678118095017568
